year,cause,point_id
2012,harvest,1
2016,harvest,1
2004,fire,50
2005,other,57
2012,fire,70
1995,fire,81
1992,unknown,82
1989,unknown,86
2019,unknown,86
2005,unknown,87
1997,unknown,89
1989,fire,91
2001,fire,91
2006,fire,91
2005,harvest,92
2017,harvest,92
2008,unknown,93
2002,harvest,95
1998,harvest,98
1991,unknown,99
1991,fire,100
2003,fire,104
2009,fire,104
2001,harvest,105
2011,harvest,105
1992,unknown,106
2003,fire,106
2015,harvest,106
1992,unknown,108
1999,unknown,108
2012,harvest,108
1992,unknown,110
2005,harvest,110
2015,harvest,110
1993,unknown,111
2002,harvest,111
2013,harvest,111
1998,unknown,112
1992,unknown,114
2009,harvest,114
1986,unknown,120
1993,unknown,120
2003,unknown,120
1991,unknown,121
2005,unknown,121
2019,fire,121
1989,unknown,122
2010,harvest,122
2019,harvest,122
1992,harvest,123
2012,fire,123
2007,fire,124
1992,unknown,125
2003,fire,125
2018,harvest,125
2003,fire,127
1989,unknown,128
2003,harvest,128
1989,harvest,129
2003,harvest,129
2014,harvest,129
1995,harvest,131
2004,harvest,131
1999,harvest,132
2006,fire,132
1989,unknown,133
2004,fire,133
1993,fire,134
2017,harvest,134
2005,harvest,137
1995,unknown,139
2006,unknown,139
2018,harvest,139
1991,unknown,140
2003,unknown,140
2012,harvest,140
1999,harvest,141
1992,unknown,143
2003,harvest,143
2018,harvest,143
1983,fire,144
1999,harvest,144
2009,harvest,144
1996,unknown,145
2008,harvest,145
2018,harvest,145
1994,unknown,149
2003,fire,149
2017,harvest,149
1992,unknown,150
2003,fire,150
2013,harvest,150
2003,fire,151
2018,fire,151
2003,fire,152
2015,harvest,152
1999,unknown,153
2018,fire,153
2000,harvest,155
2020,harvest,155
1991,unknown,156
2010,harvest,156
1995,harvest,158
2009,harvest,158
1998,harvest,159
2010,harvest,159
2005,harvest,161
2017,harvest,161
1993,unknown,163
2003,fire,163
1997,unknown,164
2003,fire,164
2014,harvest,164
1995,unknown,165
2012,fire,165
1995,fire,166
2017,fire,166
2003,fire,167
2019,harvest,167
1991,unknown,170
2004,unknown,170
2013,unknown,170
2003,fire,171
1986,fire,172
2003,fire,172
2017,fire,172
1991,fire,173
2017,fire,173
1990,unknown,174
2003,fire,174
2017,fire,174
1987,fire,175
1997,unknown,175
2005,fire,175
2015,harvest,175
1985,fire,176
2016,fire,176
2017,fire,178
1995,harvest,180
2009,harvest,180
2020,harvest,180
1997,unknown,182
2011,harvest,182
2003,harvest,185
2005,fire,185
2017,harvest,185
2005,fire,186
2015,harvest,186
2017,fire,186
1990,fire,187
2017,fire,187
1992,fire,188
2008,unknown,188
2017,fire,188
2017,harvest,189
1995,fire,190
1995,fire,191
1985,fire,192
1994,unknown,192
2008,harvest,192
2017,fire,192
1998,unknown,197
1997,unknown,197
2003,fire,197
2007,unknown,197
2003,harvest,198
2012,harvest,198
1990,unknown,199
2003,harvest,199
2011,harvest,199
2018,harvest,199
1996,unknown,200
2018,harvest,200
2013,harvest,202
1993,unknown,203
2007,harvest,203
2020,harvest,203
1990,unknown,205
2008,harvest,205
2004,unknown,206
2019,harvest,206
2001,harvest,207
2013,harvest,207
2013,fire,212
2002,fire,213
2010,fire,213
2002,unknown,214
2010,fire,214
2020,harvest,214
2005,harvest,215
2007,harvest,217
2019,harvest,217
2017,fire,218
2004,fire,219
1995,fire,220
2012,harvest,220
1995,fire,221
2005,fire,221
2018,harvest,221
2005,fire,222
2010,harvest,226
2009,harvest,228
2005,fire,229
2016,fire,229
1994,harvest,231
2008,harvest,231
2017,fire,231
1994,harvest,232
2011,harvest,232
2017,fire,232
1996,unknown,236
2001,unknown,236
2011,harvest,236
2016,fire,236
1991,unknown,237
2005,harvest,237
2016,fire,237
1997,unknown,238
2005,fire,238
2020,harvest,238
2005,fire,239
2011,fire,239
2020,harvest,239
1987,unknown,241
2015,fire,241
2000,harvest,243
2014,harvest,243
1994,unknown,245
2006,harvest,245
2016,harvest,245
1986,fire,246
1990,harvest,246
2004,harvest,246
2020,harvest,246
1993,harvest,248
2002,harvest,248
2017,fire,248
1991,fire,249
2005,fire,249
2016,harvest,249
2005,fire,250
1995,fire,251
2005,fire,251
1998,unknown,252
2012,harvest,252
1997,unknown,253
1994,unknown,254
2011,harvest,254
2017,fire,254
1989,unknown,256
2005,harvest,256
2012,harvest,257
1989,unknown,258
2005,fire,258
2016,harvest,258
1989,fire,259
2016,fire,259
2000,unknown,260
1987,fire,261
2013,harvest,261
1998,fire,262
2006,fire,262
2011,fire,262
2016,fire,262
2016,fire,263
2000,unknown,264
2012,harvest,265
1990,unknown,266
2003,fire,266
2006,fire,266
2013,fire,275
1995,fire,277
2011,harvest,277
2020,harvest,277
2012,fire,278
2013,harvest,288
2017,fire,292
1985,fire,293
2005,fire,293
2017,fire,293
2017,fire,294
1991,unknown,296
2005,harvest,300
1988,unknown,316
2017,harvest,317
1989,unknown,321
1995,fire,321
2008,harvest,321
1997,unknown,323
2015,harvest,323
2016,fire,327
1987,fire,329
1990,fire,329
2012,harvest,329
1987,unknown,332
2013,harvest,332
2019,fire,332
2006,other,334
1987,unknown,335
1996,unknown,335
2012,harvest,336
2012,harvest,337
1986,fire,343
2012,fire,343
2020,other,343
2013,harvest,345
2000,unknown,350
2003,fire,350
2017,fire,350
1990,unknown,351
2001,fire,351
2012,fire,351
1991,fire,352
2005,fire,352
1991,fire,353
2017,fire,354
1998,fire,355
1995,unknown,356
2002,fire,356
2008,harvest,357
1991,fire,358
2003,fire,358
2011,harvest,360
2018,harvest,362
1991,fire,367
2017,fire,367
1995,fire,368
2017,fire,370
2017,fire,375
1991,fire,376
2003,fire,377
2020,fire,377
2003,fire,378
1990,unknown,380
1987,fire,382
2016,fire,382
2004,fire,384
2011,harvest,386
2017,fire,386
2019,harvest,388
2013,fire,389
2008,harvest,392
2018,harvest,392
2012,harvest,393
2013,harvest,394
1990,fire,395
1997,unknown,395
2013,fire,395
1991,fire,397
2017,fire,397
1987,fire,398
2017,fire,398
2001,fire,400
2017,fire,400
1991,fire,401
2001,harvest,401
2012,harvest,401
2017,fire,401
2012,harvest,403
1991,fire,404
2017,fire,405
1995,fire,406
2017,fire,406
1991,fire,407
2005,fire,407
1991,unknown,409
2017,fire,409
2004,fire,412
2012,fire,412
1990,unknown,413
2004,harvest,414
1997,unknown,416
1993,fire,422
2017,fire,422
2012,fire,423
2018,unknown,423
1987,fire,424
2017,fire,424
2005,harvest,425
1992,harvest,426
2007,harvest,426
2017,fire,426
2003,fire,428
2011,harvest,430
1988,unknown,432
2003,harvest,433
2015,harvest,433
2008,harvest,434
2016,fire,435
2020,harvest,435
2017,harvest,436
2003,fire,438
2010,other,438
2017,fire,438
2017,fire,439
1987,fire,441
1992,unknown,441
2000,unknown,441
2017,fire,441
2012,fire,447
2010,fire,448
1985,fire,449
2002,fire,449
2016,fire,449
1984,fire,454
2016,fire,459
2005,fire,460
2011,fire,460
1990,unknown,461
1997,unknown,462
2017,fire,466
2001,fire,467
2012,harvest,468
2004,harvest,470
1989,unknown,472
2008,harvest,473
2010,fire,474
2011,harvest,479
2000,harvest,480
2012,harvest,480
1998,unknown,484
1991,unknown,487
2012,harvest,487
2009,harvest,494
2010,harvest,495
2020,harvest,496
1987,fire,509
1993,fire,509
1999,unknown,509
1989,harvest,512
2020,fire,512
1997,unknown,515
2003,fire,515
2003,fire,521
2012,harvest,530
1986,fire,555
1991,unknown,555
2004,unknown,555
2006,harvest,572
2006,harvest,576
1988,harvest,583
2005,harvest,592
1998,harvest,599
1997,harvest,607
2017,harvest,607
1991,unknown,625
2004,unknown,625
1990,unknown,646
2003,fire,658
2003,fire,659
2017,fire,660
1998,fire,677
2016,fire,697
1990,unknown,702
1998,unknown,702
2009,fire,702
2000,unknown,703
2009,fire,703
1985,fire,704
2011,fire,704
2006,fire,706
2017,fire,706
1987,fire,707
2013,fire,707
2017,fire,707
1994,unknown,713
2005,harvest,713
2015,harvest,713
1991,unknown,715
2003,harvest,715
2015,harvest,715
1985,fire,716
2002,harvest,716
2008,harvest,716
1988,unknown,717
2000,unknown,717
2014,harvest,717
1993,unknown,719
2012,harvest,719
2019,harvest,719
1988,unknown,720
1998,harvest,720
2013,harvest,720
1988,unknown,721
1995,fire,721
2010,harvest,721
2020,harvest,721
1993,unknown,722
2006,harvest,722
2019,harvest,722
1987,unknown,723
1996,unknown,723
2009,harvest,723
1991,unknown,724
2008,harvest,724
1992,unknown,725
2003,harvest,725
2018,harvest,725
1992,unknown,726
2003,unknown,726
2014,harvest,726
1999,unknown,728
2006,harvest,728
2017,harvest,728
2003,fire,731
1995,unknown,732
2008,harvest,732
2017,harvest,732
1994,unknown,735
2006,harvest,735
2019,harvest,735
2003,fire,736
2018,fire,736
1991,fire,738
1985,unknown,740
1996,unknown,740
2006,harvest,740
1989,unknown,742
2002,unknown,742
2013,harvest,742
1995,unknown,744
2014,harvest,744
1998,fire,746
2004,harvest,746
2012,harvest,746
1984,fire,747
1988,harvest,747
1998,harvest,747
2003,fire,747
2012,harvest,747
2017,fire,747
1985,fire,748
1988,harvest,748
2002,harvest,748
2013,harvest,748
2016,fire,748
1987,fire,749
1995,harvest,749
2005,fire,749
2015,harvest,751
2003,harvest,752
2016,fire,752
2008,harvest,753
2017,fire,753
2017,harvest,754
2017,fire,755
2003,harvest,756
1990,unknown,758
2003,fire,758
2015,harvest,758
1993,unknown,759
2003,fire,759
2016,harvest,759
1987,fire,760
1992,fire,760
1996,fire,760
2007,harvest,760
1990,unknown,761
2007,harvest,761
2019,harvest,761
2009,harvest,762
2005,fire,763
1995,fire,764
1990,unknown,765
2012,harvest,765
1990,fire,766
2012,fire,766
1987,unknown,767
1996,unknown,767
2009,harvest,767
1994,unknown,768
2002,harvest,769
2013,harvest,769
1990,fire,770
2005,fire,770
2017,fire,770
1985,fire,772
2004,fire,772
2016,fire,772
1998,harvest,773
2006,harvest,773
2016,harvest,773
2010,fire,775
2011,harvest,777
1999,harvest,778
2010,harvest,778
2012,fire,778
1996,harvest,779
2005,harvest,779
1994,unknown,780
2018,harvest,780
2002,harvest,781
2010,harvest,781
2006,harvest,783
2017,harvest,783
2002,harvest,784
2017,fire,784
2019,harvest,784
1995,unknown,785
2003,harvest,785
2014,harvest,785
1990,fire,786
1997,fire,787
1998,unknown,788
2011,harvest,788
1990,unknown,789
2004,harvest,789
2016,harvest,789
1991,unknown,791
2016,fire,791
1995,fire,792
2004,unknown,792
2013,fire,792
1995,unknown,794
2004,harvest,794
2005,fire,794
2014,harvest,794
1990,fire,795
1995,unknown,795
2008,harvest,795
2019,harvest,795
1986,fire,797
2005,fire,797
2015,harvest,797
2001,fire,798
2016,fire,798
1988,fire,806
1991,fire,806
1995,unknown,806
2004,harvest,806
1991,fire,807
1996,fire,807
1992,unknown,808
2013,fire,808
2017,fire,809
1997,unknown,813
1997,unknown,826
2013,fire,827
2017,harvest,828
2001,fire,829
2019,harvest,829
1998,unknown,830
2017,harvest,830
1988,unknown,831
2010,other,832
2001,unknown,833
2009,harvest,834
1991,fire,836
2020,harvest,836
1986,unknown,837
2004,harvest,837
2015,harvest,838
2019,harvest,838
1987,unknown,839
2019,harvest,839
1987,unknown,840
1999,unknown,840
2005,harvest,840
2017,harvest,840
1991,fire,841
2017,fire,842
1990,fire,843
2000,other,844
2003,fire,846
1988,unknown,847
2002,fire,848
2017,fire,848
1986,fire,849
2005,fire,849
2003,fire,850
2017,fire,850
2003,fire,851
2016,harvest,853
1991,fire,855
2013,fire,855
2008,harvest,861
1985,fire,862
2000,fire,862
2017,fire,862
1991,fire,863
2017,fire,863
1986,fire,864
2017,fire,865
1987,fire,866
2005,fire,866
2017,fire,866
1999,fire,867
2001,harvest,869
2012,harvest,870
2018,harvest,871
2009,harvest,873
2000,harvest,874
2019,harvest,874
2013,fire,875
1996,unknown,879
1999,unknown,880
2015,harvest,880
1993,unknown,881
2011,other,881
2017,harvest,881
2014,harvest,882
1995,fire,883
1991,fire,885
2019,harvest,886
2002,fire,888
2011,fire,888
2009,fire,889
2005,fire,891
1984,fire,892
2017,fire,892
1986,fire,899
2009,fire,899
1997,unknown,913
1995,unknown,914
1999,unknown,918
2004,fire,921
2000,unknown,922
2011,unknown,922
1986,fire,924
2003,fire,924
2007,unknown,924
2012,unknown,924
1990,unknown,926
2006,harvest,926
1990,unknown,930
1998,unknown,930
2008,unknown,972
1992,unknown,979
2001,unknown,988
1987,unknown,989
2004,unknown,989
1997,unknown,991
